Year,Month,percent,regionId,date,regionName,
1880,Jan,-73,1,1880 Jan,Global,
1880,Feb,-33,1,1880 Feb,Global,
1880,Mar,-40,1,1880 Mar,Global,
1880,Apr,-58,1,1880 Apr,Global,
1880,May,-28,1,1880 May,Global,
1880,Jun,-40,1,1880 Jun,Global,
1880,Jul,-40,1,1880 Jul,Global,
1880,Aug,15,1,1880 Aug,Global,
1880,Sep,-41,1,1880 Sep,Global,
1880,Oct,-59,1,1880 Oct,Global, 
1880,Nov,-43,1,1880 Nov,Global,
1880,Dec,-45,1,1880 Dec,Global,
1881,Jan,-72,1,1881 Jan,Global,
1881,Feb,-54,1,1881 Feb,Global,
1881,Mar,-29,1,1881 Mar,Global,
1881,Apr,-17,1,1881 Apr,Global,
1881,May,6,1,1881 May,Global,
1881,Jun,-102,1,1881 Jun,Global,
1881,Jul,-45,1,1881 Jul,Global,
1881,Aug,-17,1,1881 Aug,Global,
1881,Sep,-26,1,1881 Sep,Global,
1881,Oct,-40,1,1881 Oct,Global,
1881,Nov,-45,1,1881 Nov,Global,
1881,Dec,-6,1,1881 Dec,Global,
1882,Jan,18,1,1882 Jan,Global,
1882,Feb,-5,1,1882 Feb,Global,
1882,Mar,-2,1,1882 Mar,Global,
1882,Apr,-53,1,1882 Apr,Global,
1882,May,-32,1,1882 May,Global,
1882,Jun,-96,1,1882 Jun,Global,
1882,Jul,-65,1,1882 Jul,Global,
1882,Aug,-4,1,1882 Aug,Global,
1882,Sep,-1,1,1882 Sep,Global,
1882,Oct,-24,1,1882 Oct,Global,
1882,Nov,-33,1,1882 Nov,Global,
1882,Dec,-61,1,1882 Dec,Global,
1883,Jan,-62,1,1883 Jan,Global,
1883,Feb,-88,1,1883 Feb,Global,
1883,Mar,-39,1,1883 Mar,Global,
1883,Apr,-25,1,1883 Apr,Global,
1883,May,-29,1,1883 May,Global,
1883,Jun,52,1,1883 Jun,Global,
1883,Jul,5,1,1883 Jul,Global,
1883,Aug,-8,1,1883 Aug,Global,
1883,Sep,-38,1,1883 Sep,Global,
1883,Oct,-48,1,1883 Oct,Global,
1883,Nov,-62,1,1883 Nov,Global,
1883,Dec,-32,1,1883 Dec,Global,
1884,Jan,-53,1,1884 Jan,Global,
1884,Feb,-27,1,1884 Feb,Global,
1884,Mar,-33,1,1884 Mar,Global,
1884,Apr,-86,1,1884 Apr,Global,
1884,May,-112,1,1884 May,Global,
1884,Jun,-75,1,1884 Jun,Global,
1884,Jul,-78,1,1884 Jul,Global,
1884,Aug,23,1,1884 Aug,Global,
1884,Sep,-29,1,1884 Sep,Global,
1884,Oct,-69,1,1884 Oct,Global,
1884,Nov,-74,1,1884 Nov,Global,
1884,Dec,-92,1,1884 Dec,Global,
1885,Jan,-86,1,1885 Jan,Global,
1885,Feb,-73,1,1885 Feb,Global,
1885,Mar,-85,1,1885 Mar,Global,
1885,Apr,-80,1,1885 Apr,Global,
1885,May,-43,1,1885 May,Global,
1885,Jun,-87,1,1885 Jun,Global,
1885,Jul,-56,1,1885 Jul,Global,
1885,Aug,-9,1,1885 Aug,Global,
1885,Sep,-8,1,1885 Sep,Global,
1885,Oct,4,1,1885 Oct,Global,
1885,Nov,-31,1,1885 Nov,Global,
1885,Dec,8,1,1885 Dec,Global,
1886,Jan,-70,1,1886 Jan,Global,
1886,Feb,-76,1,1886 Feb,Global,
1886,Mar,-62,1,1886 Mar,Global,
1886,Apr,-56,1,1886 Apr,Global,
1886,May,-48,1,1886 May,Global,
1886,Jun,-75,1,1886 Jun,Global,
1886,Jul,-33,1,1886 Jul,Global,
1886,Aug,-66,1,1886 Aug,Global,
1886,Sep,-36,1,1886 Sep,Global,
1886,Oct,-79,1,1886 Oct,Global,
1886,Nov,-43,1,1886 Nov,Global,
1886,Dec,-69,1,1886 Dec,Global,
1887,Jan,-81,1,1887 Jan,Global,
1887,Feb,-121,1,1887 Feb,Global,
1887,Mar,-53,1,1887 Mar,Global,
1887,Apr,-78,1,1887 Apr,Global,
1887,May,-80,1,1887 May,Global,
1887,Jun,-61,1,1887 Jun,Global,
1887,Jul,-35,1,1887 Jul,Global,
1887,Aug,-18,1,1887 Aug,Global,
1887,Sep,-55,1,1887 Sep,Global,
1887,Oct,-49,1,1887 Oct,Global,
1887,Nov,-85,1,1887 Nov,Global,
1887,Dec,-59,1,1887 Dec,Global,
1888,Jan,-71,1,1888 Jan,Global,
